lane_name,origin_city,destination_city,baseline_distance_miles,departure_date,departure_hour,day_of_week,actual_miles_driven,fuel_consumed_gallons,fuel_cost_total,mpg_achieved,cost_per_mile,drive_time_hours,avg_speed_mph,weather_conditions,delay_hours,load_weight_lbs,price_per_gallon
New York-Philadelphia,New York,Philadelphia,95.0,2025-09-25,11,Thursday ,94.42,14.14,52.97,6.68,0.561,1.54,61.36,Partly Cloudy,0.2,27164,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-09-26,21,Friday   ,183.21,32.11,119.79,5.71,0.6538,2.74,66.91,Clear,1.06,40893,
Seattle-Portland,Seattle,Portland,173.0,2025-09-07,10,Sunday   ,173.74,28.8,129.15,6.03,0.7434,2.76,62.86,Rain,0.32,30128,
Dallas-Houston,Dallas,Houston,239.0,2025-09-13,1,Saturday ,242.86,40.92,161.1,5.93,0.6633,4.04,60.08,Clear,1.44,43781,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-07-15,19,Tuesday  ,111.5,16.03,59.86,6.96,0.5369,1.81,61.61,Partly Cloudy,2.36,36516,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-09-10,14,Wednesday,337.72,56.98,213.9,5.93,0.6334,5.06,66.79,Clear,0.53,38212,
Dallas-Houston,Dallas,Houston,239.0,2025-09-13,0,Saturday ,241.25,36.91,145.32,6.54,0.6024,3.79,63.73,Clear,2.15,38176,
Baltimore-Washington DC,Baltimore,Washington DC,40.0,2025-09-09,23,Tuesday  ,41.8,7.05,26.6,5.93,0.6364,0.64,65.7,Clear,0.4,44825,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-08-04,16,Monday   ,245.3,38.13,144.58,6.43,0.5894,4.13,59.33,Cloudy,0.43,31192,3.792
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-09-09,22,Tuesday  ,88.23,14.52,65.84,6.08,0.7462,1.46,60.46,Clear,1.69,38333,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-08-12,5,Tuesday  ,550.28,88.66,334.78,6.21,0.6084,8.34,66.01,Clear,2.31,33180,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-08-04,20,Monday   ,191.02,31.72,120.28,6.02,0.6297,2.92,65.49,Clear,0.91,32869,3.792
Charlotte-Charleston,Charlotte,Charleston,208.0,2025-08-31,1,Sunday   ,204.43,32.32,120.44,6.33,0.5892,3.11,65.7,Clear,2.21,25667,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-08-29,11,Friday   ,168.28,33.3,123.16,5.05,0.7319,2.6,64.8,Snow,0.9,36301,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-07-09,19,Wednesday,248.15,43.14,161.03,5.75,0.6489,3.71,66.95,Clear,0.28,43611,
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-10-01,18,Wednesday,371.45,66.8,302.75,5.56,0.815,5.87,63.24,Rain,0.34,31242,
Boston-New York,Boston,New York,215.0,2025-10-13,15,Monday   ,218.88,37.15,138.24,5.89,0.6316,3.39,64.57,Cloudy,0.62,31204,3.721
Dallas-Houston,Dallas,Houston,239.0,2025-07-03,3,Thursday ,242.83,39.54,192.42,6.14,0.7924,4.08,59.53,Partly Cloudy,1.98,43720,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-08-08,3,Friday   ,184.39,27.14,102.91,6.79,0.5581,3.06,60.34,Clear,0.36,35429,
Charlotte-Charleston,Charlotte,Charleston,208.0,2025-10-14,3,Tuesday  ,209.01,38.54,143.41,5.42,0.6861,3.59,58.3,Snow,1.36,25268,
Tampa-Orlando,Tampa,Orlando,84.0,2025-07-02,12,Wednesday,87.45,12.76,48.15,6.85,0.5506,1.49,58.89,Clear,2.01,43900,
Seattle-Portland,Seattle,Portland,173.0,2025-08-05,2,Tuesday  ,181.39,26.91,122.18,6.74,0.6736,3.09,58.69,Cloudy,0.14,27874,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-10-18,17,Saturday ,530.09,95.09,347.84,5.57,0.6562,8.31,63.79,Clear,1.58,42020,
Charlotte-Charleston,Charlotte,Charleston,208.0,2025-06-26,9,Thursday ,216.25,34.65,121.28,6.24,0.5608,3.43,62.96,Clear,0.64,28766,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-07-30,7,Wednesday,333.3,54.06,205.1,6.17,0.6154,5.54,60.13,Rain,0.21,43332,
Dallas-Houston,Dallas,Houston,239.0,2025-10-02,10,Thursday ,246.56,47.59,162.44,5.18,0.6588,3.81,64.73,Fog,1.95,38515,
Charlotte-Charleston,Charlotte,Charleston,208.0,2025-08-13,21,Wednesday,205.02,35.81,134.52,5.73,0.6561,3.33,61.62,Fog,2.4,29114,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-08-12,2,Tuesday  ,335.12,53.87,201.84,6.22,0.6023,5.02,66.79,Cloudy,2.32,41065,
Miami-Jacksonville,Miami,Jacksonville,345.0,2025-09-26,11,Friday   ,359.6,56.31,210.88,6.39,0.5864,5.77,62.36,Clear,0.41,41322,
Baltimore-Washington DC,Baltimore,Washington DC,40.0,2025-10-14,0,Tuesday  ,40.32,7.15,26.62,5.64,0.6602,0.61,66.1,Clear,0.59,30494,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-07-06,13,Sunday   ,169.12,26.3,97.71,6.43,0.5778,2.76,61.27,Cloudy,0.42,43902,
San Antonio-Austin,San Antonio,Austin,80.0,2025-08-28,6,Thursday ,79.84,16.5,80.38,4.84,1.0068,1.3,61.54,Snow,0.08,32753,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-09-02,9,Tuesday  ,188.26,30.26,112.63,6.22,0.5983,2.95,63.76,Cloudy,1.28,31274,
Chicago-Atlanta,Chicago,Atlanta,715.0,2025-07-14,17,Monday   ,744.9,128.2,478.57,5.81,0.6425,11.25,66.2,Rain,1.04,36089,3.733
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-08-12,14,Tuesday  ,297.02,50.43,226.51,5.89,0.7626,4.92,60.33,Clear,2.29,31928,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-09-01,2,Monday   ,349.64,54.77,203.84,6.38,0.583,5.32,65.68,Clear,0.73,33286,3.722
Dallas-Houston,Dallas,Houston,239.0,2025-09-12,8,Friday   ,235.23,37.06,145.92,6.35,0.6203,3.71,63.33,Clear,2.15,36641,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-07-12,1,Saturday ,336.73,62.43,233.06,5.39,0.6921,5.8,58.11,Fog,2.32,32003,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-09-21,7,Sunday   ,334.29,50.88,188.75,6.57,0.5646,5.09,65.68,Clear,0.97,26123,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-07-26,11,Saturday ,303.74,52.13,236.77,5.83,0.7795,4.98,60.99,Clear,2.02,41323,
San Antonio-Austin,San Antonio,Austin,80.0,2025-10-10,19,Friday   ,81.63,17.14,63.62,4.76,0.7794,1.37,59.74,Fog,0.96,41205,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-07-18,23,Friday   ,257.44,38.86,145.07,6.62,0.5635,4.28,60.21,Clear,0.39,37381,
Tampa-Orlando,Tampa,Orlando,84.0,2025-08-10,19,Sunday   ,86.13,18.84,71.71,4.57,0.8326,1.3,66.13,Snow,1.32,28717,
Tampa-Orlando,Tampa,Orlando,84.0,2025-07-12,16,Saturday ,83.56,14.46,54.44,5.78,0.6515,1.33,62.83,Rain,2.16,27959,
New York-Philadelphia,New York,Philadelphia,95.0,2025-09-05,15,Friday   ,99.24,15.1,56.63,6.57,0.5706,1.54,64.4,Clear,0.27,32110,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-10-24,13,Friday   ,259.11,47.29,168.55,5.48,0.6505,4.44,58.3,Rain,1.36,32667,
Seattle-Portland,Seattle,Portland,173.0,2025-09-27,21,Saturday ,169.85,30.58,138.34,5.55,0.8145,2.77,61.32,Clear,1.08,40979,
Chicago-Atlanta,Chicago,Atlanta,715.0,2025-07-03,20,Thursday ,737.56,126.88,471.35,5.81,0.6391,11.97,61.6,Partly Cloudy,1.34,41328,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-10-19,15,Sunday   ,301.72,45.17,201.63,6.68,0.6683,5.05,59.75,Cloudy,0.59,27732,
New York-Philadelphia,New York,Philadelphia,95.0,2025-07-02,20,Wednesday,99.18,14.07,53.1,7.05,0.5354,1.64,60.61,Clear,2.01,32864,
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-08-27,20,Wednesday,388.17,57.67,257.26,6.73,0.6628,6.04,64.29,Clear,0.57,28364,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-09-15,17,Monday   ,302.03,59.49,269.06,5.08,0.8908,4.57,66.05,Fog,1.6,27916,4.523
Seattle-Portland,Seattle,Portland,173.0,2025-06-27,6,Friday   ,178.18,29.04,101.62,6.14,0.5703,2.72,65.44,Cloudy,1.35,44048,
Baltimore-Washington DC,Baltimore,Washington DC,40.0,2025-07-08,23,Tuesday  ,41.9,6.85,25.77,6.12,0.615,0.72,58.36,Clear,1.61,25762,
Memphis-Nashville,Memphis,Nashville,211.0,2025-10-19,23,Sunday   ,210.66,31.02,111.87,6.79,0.531,3.62,58.15,Clear,1.38,38799,
Charlotte-Charleston,Charlotte,Charleston,208.0,2025-08-01,22,Friday   ,210.18,33.7,128.48,6.24,0.6113,3.15,66.8,Partly Cloudy,1.21,33438,
Miami-Jacksonville,Miami,Jacksonville,345.0,2025-08-26,18,Tuesday  ,342.23,56.26,209.62,6.08,0.6125,5.53,61.93,Rain,0.2,34134,
New York-Philadelphia,New York,Philadelphia,95.0,2025-06-23,9,Monday   ,94.48,19.98,69.93,4.73,0.7402,1.45,65.33,Fog,2.1,30170,
Dallas-Houston,Dallas,Houston,239.0,2025-08-25,5,Monday   ,242.16,52.54,256.02,4.61,1.0572,3.76,64.43,Fog,0.7,42415,4.873
Miami-Jacksonville,Miami,Jacksonville,345.0,2025-10-05,2,Sunday   ,361.25,65.35,245.07,5.53,0.6784,5.92,61.04,Cloudy,2.07,42797,
Chicago-Atlanta,Chicago,Atlanta,715.0,2025-10-19,11,Sunday   ,734.26,119.84,432.14,6.13,0.5885,11.28,65.09,Clear,1.6,37895,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-10-25,7,Saturday ,343.74,56.7,202.06,6.06,0.5878,5.63,61.07,Clear,0.12,29210,
Baltimore-Washington DC,Baltimore,Washington DC,40.0,2025-10-18,3,Saturday ,40.9,7.91,29.43,5.17,0.7196,0.66,61.97,Fog,0.03,27423,
Tampa-Orlando,Tampa,Orlando,84.0,2025-09-15,10,Monday   ,83.8,15.93,59.72,5.26,0.7126,1.34,62.58,Rain,0.36,41659,3.748
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-10-03,15,Friday   ,301.05,47.56,215.56,6.33,0.716,4.63,65.07,Clear,1.94,37302,
Tampa-Orlando,Tampa,Orlando,84.0,2025-07-21,4,Monday   ,86.44,19.42,74.22,4.45,0.8586,1.33,65.11,Snow,1.08,39619,3.821
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-09-01,22,Monday   ,88.32,15.89,71.25,5.56,0.8067,1.4,62.99,Fog,0.63,31621,4.484
New York-Philadelphia,New York,Philadelphia,95.0,2025-07-15,3,Tuesday  ,97.39,20.31,77.04,4.8,0.791,1.67,58.32,Snow,2.05,26268,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-09-08,23,Monday   ,536.29,86.77,325.74,6.18,0.6074,8.68,61.78,Clear,1.94,38357,3.754
Memphis-Nashville,Memphis,Nashville,211.0,2025-08-19,10,Tuesday  ,215.09,33.84,125.28,6.36,0.5825,3.44,62.52,Cloudy,0.16,43777,
Seattle-Portland,Seattle,Portland,173.0,2025-06-23,21,Monday   ,181.33,32.44,113.53,5.59,0.6261,2.83,64.05,Rain,1.99,34540,
Tampa-Orlando,Tampa,Orlando,84.0,2025-10-03,4,Friday   ,84.7,14.06,52.74,6.02,0.6227,1.34,63.08,Clear,1.28,28013,
Charlotte-Charleston,Charlotte,Charleston,208.0,2025-07-05,3,Saturday ,211.05,35.25,133.06,5.99,0.6305,3.62,58.23,Clear,1.92,25120,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-10-27,18,Monday   ,186.95,31.0,115.15,6.03,0.6159,2.9,64.44,Clear,1.32,34198,3.715
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-10-01,3,Wednesday,296.81,44.65,202.35,6.65,0.6817,4.96,59.89,Clear,1.25,33202,
Miami-Jacksonville,Miami,Jacksonville,345.0,2025-10-15,5,Wednesday,362.06,52.4,194.97,6.91,0.5385,5.68,63.76,Clear,0.5,39618,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-08-20,11,Wednesday,348.34,53.1,196.57,6.56,0.5643,5.25,66.31,Clear,1.89,39679,
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-07-18,19,Friday   ,386.32,71.97,323.7,5.37,0.8379,6.32,61.17,Fog,0.53,37258,
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-08-09,19,Saturday ,87.11,15.51,70.42,5.62,0.8084,1.5,58.15,Clear,0.72,41389,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-07-18,13,Friday   ,184.17,29.99,111.95,6.14,0.6079,2.78,66.13,Cloudy,2.17,35371,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-06-26,3,Thursday ,352.57,55.57,194.51,6.34,0.5517,5.82,60.57,Clear,1.19,30264,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-10-17,20,Friday   ,167.97,26.26,94.68,6.4,0.5637,2.58,65.13,Cloudy,1.84,39389,
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-08-19,13,Tuesday  ,89.83,13.45,59.94,6.68,0.6673,1.44,62.27,Clear,1.62,37848,
San Antonio-Austin,San Antonio,Austin,80.0,2025-06-27,4,Friday   ,81.16,12.0,44.71,6.76,0.5509,1.39,58.32,Clear,2.34,40319,
Charlotte-Charleston,Charlotte,Charleston,208.0,2025-10-02,21,Thursday ,204.74,37.25,139.68,5.5,0.6822,3.2,64.06,Rain,0.21,31211,
Chicago-Atlanta,Chicago,Atlanta,715.0,2025-07-25,18,Friday   ,715.49,135.34,513.61,5.29,0.7178,11.25,63.62,Snow,1.15,41804,
Charlotte-Charleston,Charlotte,Charleston,208.0,2025-10-23,17,Thursday ,215.3,36.78,135.16,5.85,0.6278,3.55,60.59,Clear,1.84,29740,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-06-24,9,Tuesday  ,176.95,25.31,88.59,6.99,0.5006,2.74,64.54,Clear,1.07,30411,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-08-26,21,Tuesday  ,115.71,21.45,79.32,5.39,0.6855,1.8,64.17,Fog,0.19,29847,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-10-05,10,Sunday   ,183.7,33.48,124.9,5.49,0.6799,3.15,58.26,Clear,2.41,43064,
Seattle-Portland,Seattle,Portland,173.0,2025-07-24,6,Thursday ,172.12,28.54,129.63,6.03,0.7531,2.67,64.35,Partly Cloudy,0.22,39116,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-06-27,17,Friday   ,541.57,98.06,361.75,5.52,0.668,9.07,59.74,Clear,0.99,44460,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-10-02,6,Thursday ,175.39,27.7,103.35,6.33,0.5893,2.71,64.83,Rain,0.27,25503,
Seattle-Portland,Seattle,Portland,173.0,2025-07-09,21,Wednesday,173.65,30.01,133.91,5.79,0.7711,2.88,60.32,Clear,0.53,33751,
Memphis-Nashville,Memphis,Nashville,211.0,2025-09-13,8,Saturday ,216.65,34.87,130.91,6.21,0.6042,3.46,62.56,Rain,0.22,26772,
Dallas-Houston,Dallas,Houston,239.0,2025-08-24,16,Sunday   ,247.38,41.17,149.98,6.01,0.6063,4.27,58.0,Rain,0.76,34726,
Seattle-Portland,Seattle,Portland,173.0,2025-07-13,9,Sunday   ,172.1,33.15,147.93,5.19,0.8596,2.65,64.9,Snow,0.13,33871,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-09-13,20,Saturday ,544.22,96.26,361.35,5.65,0.664,8.38,64.96,Rain,2.21,40446,
Charlotte-Charleston,Charlotte,Charleston,208.0,2025-07-07,17,Monday   ,209.42,35.41,133.34,5.91,0.6367,3.37,62.18,Clear,0.03,39721,3.765
